Postal Code,Place Name,State,State Abbreviation,Latitude,Longitude
044 56,Bo?iar,Košice-okolie,KI,48.5833,21.25
044 57,Haniska,Košice-okolie,KI,48.9667,21.25
044 58,Se?a,Košice-okolie,KI,48.5667,21.2667
044 61,Zlatá Idka,Košice-okolie,KI,48.75,21.0167
044 65,Košická Belá,Košice-okolie,KI,48.8,21.1167
044 71,?e?ejovce,Košice-okolie,KI,48.6,21.0667
044 73,Buzica,Košice-okolie,KI,48.5333,21.0667
044 74,Chym,Košice-okolie,KI,48.5444,21.1778
044 81,Trebejov,Košice-okolie,KI,48.8333,21.2333
045 01,Debra?,Košice-okolie,KI,48.65,20.9833
071 01,Vybúchanec,Michalovce,KI,48.8167,21.8167
072 01,Šamudovce,Michalovce,KI,48.7,21.8833
072 02,Tušice,Michalovce,KI,48.7333,21.75
072 03,Moravany,Michalovce,KI,48.7333,21.7833
072 04,Bánovce nad Ondavou,Michalovce,KI,48.6833,21.8167
072 05,Bracovce,Michalovce,KI,48.6333,21.8333
072 06,Mal?ice,Michalovce,KI,48.5833,21.85
072 11,Jastrabie pri Michalovciach,Michalovce,KI,48.7167,22.0083
072 13,Zemplínska Široká,Michalovce,KI,48.6458,22
072 14,Vysoká nad Uhom,Michalovce,KI,48.6333,22.1
072 15,Komanica,Michalovce,KI,48.6333,21.8833
072 16,Vrbnica,Michalovce,KI,48.6833,21.8833
072 17,Zemplínske Kop?any,Michalovce,KI,48.5833,21.9167
072 21,Vo?a,Michalovce,KI,48.85,21.85
072 22,Strážske,Michalovce,KI,48.8667,21.8333
072 23,Staré,Michalovce,KI,48.8667,21.8667
072 31,Trnava pri Laborci,Michalovce,KI,48.8167,21.9333
072 32,Jovsa,Michalovce,KI,48.8333,22.1
072 33,Závadka,Michalovce,KI,48.775,22.075
072 34,Ve?ké Zalužice,Michalovce,KI,48.75,21.9833
072 36,Kaluža,Michalovce,KI,48.8167,22
072 37,Sliepkovce,Michalovce,KI,48.6667,21.95
072 54,Bajany,Michalovce,KI,48.6,22.1167
076 71,?i?arovce,Michalovce,KI,48.55,22.0333
076 72,Beša,Michalovce,KI,48.5583,21.9667
076 74,Drah?ov,Michalovce,KI,48.5833,21.9667
076 75,Ve?ké Raškovce,Michalovce,KI,48.55,21.9167
076 77,Ve?ké Slemence,Michalovce,KI,48.5167,22.15
079 01,?ierne Pole,Michalovce,KI,48.5667,22.0833
048 01,?u?ma,Rož?ava,KI,48.6833,20.55
049 11,Vidová,Rož?ava,KI,48.5667,20.45
049 12,Bohú?ovo,Rož?ava,KI,48.5167,20.3708
049 21,Betliar,Rož?ava,KI,48.7,20.5167
049 22,Gemerská Poloma,Rož?ava,KI,48.7593,20.3926
049 23,Nižnoslanská Ba?a,Rož?ava,KI,48.7333,20.4056
049 24,Vlachovo,Rož?ava,KI,48.7833,20.4167
049 25,Dobšiná,Rož?ava,KI,48.8167,20.3667
049 26,Vyšná Slaná,Rož?ava,KI,48.7833,20.3167
049 31,Rakovnica,Rož?ava,KI,48.6667,20.4667
049 32,Štítnik,Rož?ava,KI,48.6667,20.3667
049 34,Brdárka,Rož?ava,KI,48.7667,20.3333
049 35,Koce?ovce,Rož?ava,KI,48.7167,20.35
049 36,Slavošovce,Rož?ava,KI,48.7167,20.2833
049 41,Pa?a,Rož?ava,KI,48.6833,20.6167
049 42,Bôrka,Rož?ava,KI,48.6333,20.7667
049 43,Silická Jablonica,Rož?ava,KI,48.5667,20.6167
049 44,Hrhov,Rož?ava,KI,48.6,20.75
049 45,Jovice,Rož?ava,KI,48.6333,20.55
049 51,Brzotín,Rož?ava,KI,48.6333,20.5
049 52,Silica,Rož?ava,KI,48.55,20.5333
049 55,Ardovo,Rož?ava,KI,48.5333,20.4167
049 71,Stratená,Rož?ava,KI,48.8667,20.35
049 73,Dedinky,Rož?ava,KI,48.8667,20.3833
980 46,Bretka,Rož?ava,KI,48.4833,20.35
072 41,Vyšné Remety,Sobrance,KI,48.8333,22.1667
072 42,Ruskovce,Sobrance,KI,48.7833,22.1667
072 43,Blatné Revištia,Sobrance,KI,48.7333,22.0833
072 44,Blatná Polianka,Sobrance,KI,48.6833,22.1
072 51,Mo?idlá,Sobrance,KI,48.6833,22.2567
072 52,Jenkovce,Sobrance,KI,48.65,22.2167
072 53,Záhor,Sobrance,KI,48.6333,22.2
072 55,Svätuš,Sobrance,KI,48.6833,22.1333
072 61,Kolibabovce,Sobrance,KI,48.7167,22.2667
072 62,Korom?a,Sobrance,KI,48.7167,22.3
072 63,Ko?uš,Sobrance,KI,48.7833,22.2667
072 64,Ruský Hrabovec,Sobrance,KI,48.85,22.35
073 01,Sobranecké Kúpele,Sobrance,KI,48.7583,22.1944
052 01,Spišské Tomášovce,Spišská Nová Ves,KI,48.95,20.4667
053 01,Harichovce,Spišská Nová Ves,KI,48.9667,20.5833
053 11,Smižany,Spišská Nová Ves,KI,48.9667,20.5333
053 13,Arnutovce,Spišská Nová Ves,KI,48.9833,20.5
053 15,Betlanovce,Spišská Nová Ves,KI,48.9833,20.4
053 21,Lieskovany,Spišská Nová Ves,KI,48.9333,20.6167
053 22,Danišovce,Spišská Nová Ves,KI,48.95,20.6333
053 23,Rud?any,Spišská Nová Ves,KI,48.8833,20.6833
053 31,Novoveská Huta,Spišská Nová Ves,KI,48.8354,20.6208
053 32,Bindt,Spišská Nová Ves,KI,48.8833,20.5833
053 40,Slovinky,Spišská Nová Ves,KI,48.8833,20.85
053 42,Ka?ava,Spišská Nová Ves,KI,48.9333,20.8667
053 61,Spišské Vlachy,Spišská Nová Ves,KI,48.95,20.8
