Postal Codes,Place Name,State,Latitude,Longitude
32158,Mawanagama,APR,7.2125,81.0583
32198,Malwatta,APR,6.65,80.4167
32200,Samanthurai,APR,7.3833,81.8333
32250,Karativu,APR,7.3833,81.8333
32280,Sainthamaruthu,APR,7.3833,81.8333
32300,Kalmunai,APR,7.4167,81.8167
32308,Navithanveli,APR,7.4333,81.7833
32314,Marathamune,APR,7.45,81.8167
32316,Periyaneelavanai,APR,7.45,81.8167
32340,Nintavur,APR,7.35,81.85
32350,Addalaichenai,APR,7.4833,81.75
32354,Palamunai,APR,7.4833,81.75
32360,Oluvil,APR,7.2833,81.85
32400,Akkaraipattu,APR,7.2167,81.85
32405,Kannakipuram,APR,7.2167,81.85
32415,Thambiluvil,APR,7.1333,81.85
32418,Komari,APR,6.9833,81.8667
32420,Tirukovil,APR,7.1167,81.85
32450,lmkkamam,APR,7.1125,81.8542
32454,Wanagamuwa,APR,7.1125,81.8542
32500,Pottuvil,APR,6.8667,81.8333
32508,Panama,APR,6.75,81.8
32512,Lahugala,APR,7.4,81.3
32514,Hulannuge,APR,7.4,81.3
30000,Batticaloa,BC,7.7167,81.7
30016,Kannankudah,BC,7.6667,81.6667
30018,Navatkadu,BC,7.5833,81.7167
30022,Pillaiyaradi,BC,7.75,81.6333
30024,Thannamunai,BC,7.75,81.6333
30100,Kattankudi,BC,7.675,81.73
30150,Araipattai,BC,7.6667,81.7333
30158,Puthukudiyiruppu,BC,9.05,79.85
30159,Kirankulam,BC,7.6,81.7667
30160,Kokkaddichcholai,BC,7.8597,81.4411
30162,Ampilanthurai,BC,7.8597,81.4411
30192,Kurukkalmadam,BC,7.5833,81.7833
30194,Cheddipalayam,BC,7.5833,81.7833
30196,Thettativu,BC,7.5833,81.7833
30200,Kaluwanchikudi,BC,7.5167,81.7833
30204,Vellavely,BC,7.5,81.7333
30206,Bakiella,BC,7.5083,81.7583
30220,Mandur,BC,7.4833,81.75
30230,Periyaporativu,BC,7.5167,81.7667
30234,Thirupalugamam,BC,7.525,81.725
30236,Thikkodai,BC,7.5333,81.6833
30238,Navagirinagar,BC,7.525,81.725
30249,Koddaikallar,BC,7.6389,81.6639
30250,Kallar,BC,8.2833,81.2667
30254,Thuraineelavanai,BC,8.2833,81.2667
30300,Eravur,BC,7.7667,81.6
30350,Chenkaladi,BC,7.7833,81.6
30352,Pankudavely,BC,7.75,81.5667
30354,Karadiyanaru,BC,7.7167,81.5333
30358,Periyapullumalai,BC,7.75,81.5667
30362,Ayithiyamalai,BC,7.6167,81.55
30364,Unnichchai,BC,7.6167,81.55
30372,Kaluwankemy,BC,7.8,81.5667
30376,Vantharumoolai,BC,7.8,81.5667
30392,Murakottanchanai,BC,7.8667,81.5333
30394,Kiran,BC,7.8667,81.5333
30400,Valaichenai,BC,7.7,81.6
30410,Kalkudah,BC,8.1167,79.7167
30420,Oddamavadi,BC,7.9167,81.5167
30424,Vakaneri,BC,7.9167,81.4333
30426,Miravodai,BC,7.9,81.5167
30428,Punanai,BC,7.9667,81.3833
30442,Mankemi,BC,7.9833,81.25
30444,Panichankemi,BC,7.9833,81.25
30450,Vakarai,BC,8.1333,81.4333
30456,Kathiraveli,BC,8.2167,81.4
90000,Badulla,BD,6.9833,81.05
90008,Soranatota,BD,7.0167,81.05
90012,Timbirigaspitiya,BD,7.0333,81.05
90013,Egodawela,BD,7.0333,80.65
90014,Taldena,BD,7.0833,81.05
90015,Meegahakiula,BD,7.0833,80.9833
90016,Ketawatta,BD,7.1,81.0833
90017,Arawa,BD,7.1667,81.0833
90019,Baduluoya,BD,7.0833,80.9833
90020,Kandaketya,BD,7.2333,80.4667
90022,Maliyadda,BD,7.2333,80.4667
90026,Rilpola,BD,7.2333,80.4667
90028,Spring Valley,BD,7.2333,80.4667
90034,Wineethagama,BD,7.029,80.937
90042,Nelumgama,BD,7,81.0917
90044,Sirimalgoda,BD,7,81.0917
90046,Kuttiyagolla,BD,7.0167,81.0833
90048,Kendagolla,BD,6.9833,81.1
90052,Kahataruppa,BD,7.0333,81.1167
90060,Hali Ela,BD,6.95,81.0333
90061,Uva Uduwara,BD,7.0333,80.8917
90062,Uva Deegalla,BD,7.0333,80.8917
90063,Jangulla,BD,7.0333,80.8917
90064,Narangala,BD,7.1,80.3667
90065,Galauda,BD,7.0333,80.9833
90066,Beramada,BD,7.05,80.9833
90067,Godunna,BD,7.0667,80.9833
90068,Landewela,BD,7,81
90070,Kandegedara,BD,7.4167,80.0833
90071,Pathanewatta,BD,7.4167,80.0833
90072,Tennepanguwa,BD,7.4167,80.0833
90080,Demodara,BD,6.9,81.05
90082,Gawarawela,BD,6.9,81.0667
90090,Ella,BD,6.8667,81.05
90091,Uva Karandagolla,BD,6.8333,81.0667
