Postal Code,Place Name,State,County,City,Latitude,Longitude
2544,Enzesfeld-Lindabrunn,Niederösterreich,Politischer Bezirk Baden,Enzesfeld-Lindabrunn,47.9532,16.1791
2551,Enzesfeld-Lindabrunn,Niederösterreich,Politischer Bezirk Baden,Enzesfeld-Lindabrunn,47.931,16.1791
2552,Hirtenberg,Niederösterreich,Politischer Bezirk Baden,Hirtenberg,47.931,16.1791
2560,Berndorf,Niederösterreich,Politischer Bezirk Baden,Berndorf,47.9422,16.1264
2563,Pottenstein,Niederösterreich,Politischer Bezirk Baden,Pottenstein,47.9582,16.0948
2564,Pottenstein,Niederösterreich,Politischer Bezirk Baden,Pottenstein,47.9582,16.0948
2565,Altenmarkt an der Triesting,Niederösterreich,Politischer Bezirk Baden,Altenmarkt an der Triesting,48.0155,15.9966
2571,Altenmarkt an der Triesting,Niederösterreich,Politischer Bezirk Baden,Altenmarkt an der Triesting,48.0155,15.9966
2572,Altenmarkt an der Triesting,Niederösterreich,Politischer Bezirk Baden,Altenmarkt an der Triesting,48.0155,15.9966
2601,Ebenfurth,Niederösterreich,Politischer Bezirk Wiener Neustadt,Ebenfurth,47.8667,16.3667
2602,Blumau-Neurißhof,Niederösterreich,Politischer Bezirk Baden,Blumau-Neurißhof,47.9227,16.3037
2603,Felixdorf,Niederösterreich,Politischer Bezirk Wiener Neustadt,Felixdorf,47.8816,16.2421
2604,Eggendorf,Niederösterreich,Politischer Bezirk Wiener Neustadt,Eggendorf,47.85,16.3167
2620,Wartmannstetten,Niederösterreich,Politischer Bezirk Neunkirchen,Wartmannstetten,47.6936,16.0751
